,r,g,b,c,dmx_ch_1
1594485007.4402866,106,892,350,1402,189
1594485007.514323,107,906,355,1423,190
1594485007.5883436,109,922,361,1448,191
1594485007.6610825,111,936,367,1471,192
1594485007.7353342,113,951,372,1494,193
1594485007.8083966,114,967,379,1519,194
1594485007.8821805,116,982,385,1543,195
1594485007.9563339,118,998,391,1567,196
1594485008.0300248,120,1012,396,1590,197
1594485008.1032972,122,1029,403,1616,198
1594485008.176333,124,1047,410,1644,199
1594485008.2500632,126,1064,416,1671,200
1594485008.3243523,128,1081,423,1699,201
1594485008.398301,130,1098,430,1725,202
1594485008.4713557,132,1113,436,1748,203
1594485008.5463793,134,1131,443,1777,204
1594485008.619369,137,1152,451,1809,205
1594485008.6932857,139,1170,458,1838,206
1594485008.7664003,141,1187,464,1865,207
1594485008.840263,143,1207,472,1895,208
1594485008.913105,145,1225,479,1924,209
1594485008.987718,148,1246,487,1957,210
1594485009.0623255,150,1266,495,1988,211
1594485009.1363056,153,1286,503,2020,212
1594485009.210448,155,1304,510,2049,213
1594485009.2833726,158,1327,519,2085,214
1594485009.357141,160,1347,526,2116,215
1594485009.4313407,163,1369,535,2150,216
1594485009.5053122,166,1392,544,2187,217
1594485009.578293,168,1415,553,2222,218
1594485009.652284,171,1435,561,2255,219
1594485009.7254226,174,1458,569,2290,220
1594485009.7986388,176,1481,578,2326,221
1594485009.8722763,179,1506,588,2365,222
1594485009.9463303,182,1530,597,2403,223
1594485010.0204186,185,1553,606,2440,224
1594485010.093355,188,1579,616,2480,225
1594485010.1673157,191,1603,626,2518,226
1594485010.2421997,194,1627,635,2556,227
1594485010.3162737,197,1655,646,2600,228
1594485010.389331,201,1683,656,2643,229
1594485010.4629831,204,1706,665,2680,230
1594485010.5364196,207,1735,677,2725,231
1594485010.6113088,210,1761,687,2766,232
1594485010.6852906,214,1790,698,2811,233
1594485010.7592025,217,1819,709,2857,234
1594485010.832316,221,1846,719,2899,235
1594485010.907271,224,1875,730,2945,236
1594485010.9812713,228,1906,742,2993,237
1594485011.0552454,232,1937,754,3041,238
1594485011.1291864,235,1967,766,3090,239
1594485011.2036912,239,1999,778,3140,240
1594485011.2783027,243,2029,789,3186,241
1594485011.351975,247,2060,801,3234,242
1594485011.4262857,251,2093,814,3286,243
1594485011.4993136,255,2127,827,3340,244
1594485011.5732532,259,2159,839,3390,245
1594485011.6472576,263,2195,853,3447,246
1594485011.7213275,267,2227,865,3497,247
1594485011.7942994,272,2264,880,3555,248
1594485011.868336,276,2298,893,3608,249
1594485011.942286,280,2333,906,3664,250
1594485012.0156326,285,2370,920,3722,251
1594485012.089354,290,2408,935,3781,252
1594485012.1632936,294,2446,949,3840,253
1594485012.237045,299,2483,963,3898,254
1594485012.311427,304,2523,979,3961,255
